ENGI 5931,"{'credit-hours': 3, 'lecture hours': 3, 'description': u""examines stresses due to combined loads, thin-walled pressure vessels, transformation of stresses and strains, principal stresses and strains (two and three dimensional stresses), Mohr's circle, theory failures, stress concentrations, energy methods, buckling of columns, thick-walled cylindrical pressure vessels, rotating disks, multi layered thick walled pressure vessels, shrink fits and contact stresses."", 'title': u'Advanced Mechanics of Deformable Solids', 'prerequisites': [u'ENGI 4312'], 'number': u'5931', 'lab hours': u'at least four 2-hour sessions per semester', 'exclusive with': u'ENGI 5312', 'name': u'ENGI 5931'}"
ENGI 5854,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'provides an introduction to circuits using operational amplifiers. Topics covered include operational amplifier configurations, analysis, and design; transient and frequency response of amplifier circuits; feedback amplifier analysis and design, stability and compensation techniques; noise and distortion in electronic circuits; analysis and design of data converters; and an introduction to analog filter design. CAD tools are used to illustrate the analysis and design of electronic circuits.', 'title': u'Electronic Circuits II', 'prerequisites': [u'ENGI 4823', u'ENGI 4854'], 'number': u'5854', 'lab hours': u'at least five 3-hour sessions per semester', 'name': u'ENGI 5854'}"
ENGI 5911,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'examines aspects of chemical and physical processes and microscopic structure relevant to the production and use of engineering materials, focussing on metals, alloys, silicates, Portland cement, plastics and adhesives, composites, and wood. Topics include solid-state solutions and compounds, alloy structures, phase diagrams, reaction rates, solid-state transformations, polymerization, oxidation and corrosion, hardness, creep, fatigue, fracture toughness and visco-elastic deformation.', 'title': u'Chemistry and Physics of Engineering Materials II', 'prerequisites': [u'ENGI 3911'], 'number': u'5911', 'lab hours': u'at least four 3-hour sessions per semester', 'other information': u'tutorial 1 hour per week', 'exclusive with': u'the former ENGI 3205', 'name': u'ENGI 5911'}"
ENGI 5723,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'examines shear strength of soil, types of laboratory and in-situ soil tests; immediate and consolidation settlement of foundations; plastic equilibrium in soils; limit equilibrium method; earth retaining structures; introduction to bearing capacity theories; and stability of slopes. Relevant laboratory exercises and projects are also included.', 'title': u'Geotechnical Engineering II', 'prerequisites': [u'ENGI 4723'], 'number': u'5723', 'lab hours': u'3', 'exclusive with': u'the former ENGI 6723', 'name': u'ENGI 5723'}"
ENGI 5812,"{'credit-hours': 3, 'lecture hours': 3, 'description': u""includes a review of relevant vector calculus, including the divergence, gradient and curl operators in Cartesian, cylindrical and spherical coordinates, divergence theorem, Stokes' theorem, and Laplace's and Poisson's equations. Topics in electrostatics include Coulomb's law, potential and energy, conductors, dielectrics, capacitance and electric field boundary conditions. Topics for magnetism include the steady magnetic field, the Biot-Savart law, Amp\xe8re's law, magnetic force, potential and magnetic materials and boundary conditions."", 'title': u'Basic Electromagnetics', 'prerequisites': [u'ENGI 3821', u'ENGI 4430'], 'number': u'5812', 'other information': u'tutorial 1 hour per week', 'name': u'ENGI 5812'}"
ENGI 5800,"{'credit-hours': 3, 'lecture hours': u'at least 10 lecture hours per semester', 'description': u'students will work in pairs on small design projects that will require them to follow a hierarchy of design process which includes general product definition, specifications and requirements, functional block diagrams, definition of specification of functional blocks for circuit level synthesis and implementation, system integration, simulation or modelling, testing and verification. The small projects are designed to encourage and motivate students to learn and practise the process of design. The course will culminate in a large design project.', 'title': u'Electrical Engineering Design', 'prerequisites': [u'ENGI 4841', u'ENGI 4854', u'ENGI 4862'], 'co-requisite': u'ENGI 5821 , ENGI 5854', 'number': u'5800', 'other information': u'meetings with project supervisor as required', 'name': u'ENGI 5800'}"
ENGI 5713,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'examines fluid characteristics; fluid statics; buoyancy and stability; kinematics; pressure measurement; continuity, energy and momentum principles; energy and hydraulic grade lines; free jets; laminar and turbulent flow; dimensional analysis; drag on immersed bodies; flow measurement.', 'title': u'Fluid Mechanics', 'prerequisites': [u'ENGI 4425'], 'number': u'5713', 'lab hours': u'at least five 1-hour sessions per semester', 'exclusive with': u'the former ENGI 4913', 'name': u'ENGI 5713'}"
ENGI 5020,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'is a second course in marine propellers and ship powering. Design and analysis of marine screw propellers and other propulsion devices are covered. Conventional and unconventional propulsion systems are introduced. Methods and philosophy of propeller design are included. Design of fixed-pitch propellers based on lifting line theory and the design of ducted propellers are emphasized. Design of other propulsion systems such as waterjets and sails is also incorporated.', 'title': u'Marine Propulsion', 'prerequisites': [u'ENGI 4020'], 'number': u'5020', 'lab hours': u'at least two 3-hour sessions per semester', 'exclusive with': u'the former ENGI 6020', 'name': u'ENGI 5020'}"
ENGI 5671,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'introduces the principles of unit operations, grouped into four sections: fluid mechanics, heat transfer, mass transfer and equilibrium stages, and operations involving particulate solids. It also includes design and operation fundamentals of unit operations: size reduction, filtration, evaporation, drying, crystallization, and humidification, and membrane separation.', 'title': u'Process Equipment Design I', 'prerequisites': [u'ENGI 4621', u'ENGI 4625'], 'co-requisite': u'ENGI 5601', 'number': u'5671', 'lab hours': u'at least four 2-hour sessions per semester', 'name': u'ENGI 5671'}"
ENGI 5821,"{'credit-hours': 3, 'lecture hours': 3, 'description': u""includes an introduction to control systems with a negative feedback; mathematical modelling and transfer functions of electromechanical systems; block diagram reduction and signal flow graphs; controller realization using op-amps; transient response analysis; Routh's stability criterion; basic control actions and response of control systems; root locus analysis and design; frequency response analysis; Bode diagram; gain and phase margins; compensator design in frequency domain; Nyquist stability criterion; A/D and D/A conversion, digital implementations of analog compensators; and an introduction to PID controller tuning methods."", 'title': u'Control Systems I', 'prerequisites': [u'ENGI 4823'], 'number': u'5821', 'lab hours': u'at least four 3-hour sessions per semester', 'name': u'ENGI 5821'}"
ENGI 5022,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'includes basic concepts in probability, random variables, multiple random variables, descriptive statistics. The random processes component reviews mathematics of functions; introduces system input-output relations of continuous-time systems; contrasts time vs frequency domain representations; introduces frequency response plots and the Fourier transform; includes selected applications for ocean engineering.', 'title': u'Stochastic Processes in Ocean Engineering', 'prerequisites': [u'ENGI 4020', u'Mathematics 2260', u'the former Mathematics 3260'], 'number': u'5022', 'other information': u'tutorial one hour per week', 'name': u'ENGI 5022'}"
